date,code,name,close
2025-05-08,BK0968,固态电池,1612.510000
2025-05-08,BK1166,低空经济,1408.270000
2025-05-08,BK0668,医疗器械,3584.240000
2025-05-09,BK1134,AI 算力,1523.310000
2025-05-09,BK1128,CPO,2435.130000
2025-05-09,BK0917,半导体,1586.220000
2025-05-09,BK1137,存储,1291.360000
2025-05-09,BK0922,数据中心,1676.630000
2025-05-09,BK0579,云计算,2963.590000
2025-05-09,BK0963,商业航天,1628.390000
2025-05-09,BK0921,卫星,1381.430000
2025-05-09,BK1090,机器人,1669.790000
2025-05-09,BK0802,自动驾驶,1728.250000
2025-05-09,BK0577,核电,2122.480000
2025-05-09,BK0490,军工,63233.830000
2025-05-09,BK0493,新能源,14302.890000
2025-05-09,BK0588,光伏,3035.310000
2025-05-09,BK0574,锂电池,2859.390000
2025-05-09,BK0464,石油,5358.130000
2025-05-09,BK0843,天然气,1314.060000
2025-05-09,BK0478,铜/有色,16807.970000
2025-05-09,BK0547,黄金,12736.310000
2025-05-09,BK0475,银行金融,3953.270000
2025-05-09,BK1216,生物医疗,3928.910000
2025-05-09,BK0438,消费,27793.070000
2025-05-09,BK0578,稀土永磁,2315.750000
2025-05-09,BK1106,创新药,1110.410000
2025-05-09,BK0710,量子计算,2329.650000
2025-05-09,BK0968,固态电池,1607.990000
2025-05-09,BK1166,低空经济,1391.260000
2025-05-09,BK0668,医疗器械,3556.750000
2025-05-12,BK1134,AI 算力,1550.110000
2025-05-12,BK1128,CPO,2483.760000
2025-05-12,BK0917,半导体,1613.740000
2025-05-12,BK1137,存储,1320.090000
2025-05-12,BK0922,数据中心,1701.060000
2025-05-12,BK0579,云计算,3012.750000
2025-05-12,BK0963,商业航天,1681.020000
2025-05-12,BK0921,卫星,1419.650000
2025-05-12,BK1090,机器人,1714.270000
2025-05-12,BK0802,自动驾驶,1761.550000
2025-05-12,BK0577,核电,2151.060000
2025-05-12,BK0490,军工,65247.180000
2025-05-12,BK0493,新能源,14468.910000
2025-05-12,BK0588,光伏,3082.610000
2025-05-12,BK0574,锂电池,2915.650000
2025-05-12,BK0464,石油,5399.160000
2025-05-12,BK0843,天然气,1322.490000
2025-05-12,BK0478,铜/有色,17079.040000
2025-05-12,BK0547,黄金,12734.490000
2025-05-12,BK0475,银行金融,3951.410000
2025-05-12,BK1216,生物医疗,3938.860000
2025-05-12,BK0438,消费,27734.320000
2025-05-12,BK0578,稀土永磁,2357.240000
2025-05-12,BK1106,创新药,1101.440000
2025-05-12,BK0710,量子计算,2375.200000
2025-05-12,BK0968,固态电池,1646.230000
2025-05-12,BK1166,低空经济,1430.630000
2025-05-12,BK0668,医疗器械,3599.550000
2025-05-13,BK1134,AI 算力,1541.540000
2025-05-13,BK1128,CPO,2460.570000
2025-05-13,BK0917,半导体,1601.680000
2025-05-13,BK1137,存储,1308.070000
2025-05-13,BK0922,数据中心,1690.040000
2025-05-13,BK0579,云计算,2992.520000
2025-05-13,BK0963,商业航天,1649.900000
2025-05-13,BK0921,卫星,1388.490000
2025-05-13,BK1090,机器人,1697.310000
2025-05-13,BK0802,自动驾驶,1744.820000
2025-05-13,BK0577,核电,2141.850000
2025-05-13,BK0490,军工,64179.420000
2025-05-13,BK0493,新能源,14517.090000
2025-05-13,BK0588,光伏,3094.870000
2025-05-13,BK0574,锂电池,2909.410000
2025-05-13,BK0464,石油,5401.730000
2025-05-13,BK0843,天然气,1322.370000
2025-05-13,BK0478,铜/有色,17033.750000
2025-05-13,BK0547,黄金,12810.760000
2025-05-13,BK0475,银行金融,4016.190000
2025-05-13,BK1216,生物医疗,3964.500000
2025-05-13,BK0438,消费,27728.360000
2025-05-13,BK0578,稀土永磁,2333.120000
2025-05-13,BK1106,创新药,1110.180000
2025-05-13,BK0710,量子计算,2353.310000
2025-05-13,BK0968,固态电池,1638.230000
2025-05-13,BK1166,低空经济,1411.630000
2025-05-13,BK0668,医疗器械,3607.070000
2025-05-14,BK1134,AI 算力,1555.920000
2025-05-14,BK1128,CPO,2475.520000
2025-05-14,BK0917,半导体,1602.960000
2025-05-14,BK1137,存储,1307.980000
2025-05-14,BK0922,数据中心,1699.200000
2025-05-14,BK0579,云计算,3014.840000
2025-05-14,BK0963,商业航天,1638.990000
2025-05-14,BK0921,卫星,1378.070000
2025-05-14,BK1090,机器人,1690.340000
2025-05-14,BK0802,自动驾驶,1739.680000
2025-05-14,BK0577,核电,2142.460000
2025-05-14,BK0490,军工,63989.860000
2025-05-14,BK0493,新能源,14515.950000
2025-05-14,BK0588,光伏,3092.730000
2025-05-14,BK0574,锂电池,2908.080000
2025-05-14,BK0464,石油,5443.720000
2025-05-14,BK0843,天然气,1325.690000
2025-05-14,BK0478,铜/有色,17117.920000
2025-05-14,BK0547,黄金,12782.460000
2025-05-14,BK0475,银行金融,4058.410000
2025-05-14,BK1216,生物医疗,3952.890000
2025-05-14,BK0438,消费,27761.270000
2025-05-14,BK0578,稀土永磁,2375.890000
2025-05-14,BK1106,创新药,1108.370000
2025-05-14,BK0710,量子计算,2350.960000
2025-05-14,BK0968,固态电池,1633.260000
2025-05-14,BK1166,低空经济,1408.150000
2025-05-14,BK0668,医疗器械,3597.740000
2025-05-15,BK1134,AI 算力,1514.660000
2025-05-15,BK1128,CPO,2412.870000
2025-05-15,BK0917,半导体,1575.030000
2025-05-15,BK1137,存储,1276.360000
2025-05-15,BK0922,数据中心,1658.620000
2025-05-15,BK0579,云计算,2941.000000
2025-05-15,BK0963,商业航天,1615.130000
2025-05-15,BK0921,卫星,1349.650000
